# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
47391	sf	a.31.1	-	Dimerization-anchoring domain of cAMP-dependent type II PK regulatory subunit
47392	fa	a.31.1.1	-	Dimerization-anchoring domain of cAMP-dependent type II PK regulatory subunit
47393	dm	a.31.1.1	-	Dimerization-anchoring domain of cAMP-dependent type II PK regulatory subunit
47394	sp	a.31.1.1	-	Mouse (Mus musculus)
16995	px	a.31.1.1	d1r2aa_	1r2a A:
16996	px	a.31.1.1	d1r2ab_	1r2a B:
73607	px	a.31.1.1	d1l6ea_	1l6e A:
73608	px	a.31.1.1	d1l6eb_	1l6e B:
89042	cf	a.178	-	Soluble domain of poliovirus core protein 3a
89043	sf	a.178.1	-	Soluble domain of poliovirus core protein 3a
89044	fa	a.178.1.1	-	Soluble domain of poliovirus core protein 3a
89045	dm	a.178.1.1	-	Soluble domain of poliovirus core protein 3a
89046	sp	a.178.1.1	-	Poliovirus type 1, strain Mahoney
85671	px	a.178.1.1	d1ng7a_	1ng7 A:
85672	px	a.178.1.1	d1ng7b_	1ng7 B:
47395	cf	a.32	-	Transcription factor IIA (TFIIA), alpha-helical domain
47396	sf	a.32.1	-	Transcription factor IIA (TFIIA), alpha-helical domain
47397	fa	a.32.1.1	-	Transcription factor IIA (TFIIA), alpha-helical domain
88833	dm	a.32.1.1	-	Large chain TOA1, N-terminal domain
88834	sp	a.32.1.1	-	Baker's yeast (Saccharomyces cerevisiae)
91874	px	a.32.1.1	d1nh2b_	1nh2 B:
16997	px	a.32.1.1	d1ytfb_	1ytf B:
101164	sp	a.32.1.1	-	Human (Homo sapiens)
92211	px	a.32.1.1	d1nvpb_	1nvp B:
88835	dm	a.32.1.1	-	Small chain TOA2, N-terminal domain
88836	sp	a.32.1.1	-	Baker's yeast (Saccharomyces cerevisiae)
91876	px	a.32.1.1	d1nh2d1	1nh2 D:5-54
16998	px	a.32.1.1	d1ytfd1	1ytf D:5-54
101165	sp	a.32.1.1	-	Human (Homo sapiens)
92213	px	a.32.1.1	d1nvpd1	1nvp D:3-53
47400	cf	a.33	-	Ectatomin subunits
47401	sf	a.33.1	-	Ectatomin subunits
47402	fa	a.33.1.1	-	Ectatomin subunits
88837	dm	a.33.1.1	-	Ectatomin subunit A, EA
88838	sp	a.33.1.1	-	Ant (Ectatomma tuberculatum), venom
16999	px	a.33.1.1	d1ecia_	1eci A:
88839	dm	a.33.1.1	-	Ectatomin subunit B, EB
88840	sp	a.33.1.1	-	Ant (Ectatomma tuberculatum), venom
17000	px	a.33.1.1	d1ecib_	1eci B:
47405	cf	a.34	-	Dimerisation interlock
47406	sf	a.34.1	-	SinR repressor dimerisation domain-like
47407	fa	a.34.1.1	-	SinR repressor dimerisation domain-like
88841	dm	a.34.1.1	-	SinR repressor dimerisation domain
88842	sp	a.34.1.1	-	Bacillus subtilis
17001	px	a.34.1.1	d1b0na1	1b0n A:74-108
88843	dm	a.34.1.1	-	SinI anti-repressor
88844	sp	a.34.1.1	-	Bacillus subtilis
17002	px	a.34.1.1	d1b0nb_	1b0n B:
100957	sf	a.34.2	-	Dimerization cofactor of HNF-1 alpha
100958	fa	a.34.2.1	-	Dimerization cofactor of HNF-1 alpha
47410	dm	a.34.2.1	-	Hepatocyte nuclear factor 1 (HNF-1), N-terminal domain
47411	sp	a.34.2.1	-	Mouse (Mus musculus)
17003	px	a.34.2.1	d1g2ya_	1g2y A:
17004	px	a.34.2.1	d1g2yb_	1g2y B:
17005	px	a.34.2.1	d1g2yc_	1g2y C:
17006	px	a.34.2.1	d1g2yd_	1g2y D:
17007	px	a.34.2.1	d1g2za_	1g2z A:
17008	px	a.34.2.1	d1g2zb_	1g2z B:
17009	px	a.34.2.1	d1g39a_	1g39 A:
17010	px	a.34.2.1	d1g39b_	1g39 B:
17011	px	a.34.2.1	d1g39c_	1g39 C:
17012	px	a.34.2.1	d1g39d_	1g39 D:
17013	px	a.34.2.1	d1f93e_	1f93 E:
17014	px	a.34.2.1	d1f93f_	1f93 F:
17015	px	a.34.2.1	d1f93g_	1f93 G:
17016	px	a.34.2.1	d1f93h_	1f93 H:
62834	px	a.34.2.1	d1jb6a_	1jb6 A:
62835	px	a.34.2.1	d1jb6b_	1jb6 B:
101166	sf	a.34.3	-	Docking domain A of the erythromycin polyketide synthase (DEBS)
101167	fa	a.34.3.1	-	Docking domain A of the erythromycin polyketide synthase (DEBS)
101168	dm	a.34.3.1	-	Erythronolide synthase
101169	sp	a.34.3.1	-	Saccharopolyspora erythraea
95466	px	a.34.3.1	d1pzqa_	1pzq A:
95467	px	a.34.3.1	d1pzqb_	1pzq B:
109805	sf	a.34.4	-	Phenylalanine zipper
109806	fa	a.34.4.1	-	Adapter protein APS, dimerisation domain
109807	dm	a.34.4.1	-	Adapter protein APS, dimerisation domain
109808	sp	a.34.4.1	-	Human (Homo sapiens)
104498	px	a.34.4.1	d1q2ha_	1q2h A:
104499	px	a.34.4.1	d1q2hb_	1q2h B:
104500	px	a.34.4.1	d1q2hc_	1q2h C:
47412	cf	a.35	-	lambda repressor-like DNA-binding domains
47413	sf	a.35.1	-	lambda repressor-like DNA-binding domains
47414	fa	a.35.1.1	-	POU-specific domain
47415	dm	a.35.1.1	-	Oct-1
47416	sp	a.35.1.1	-	Human (Homo sapiens)
59198	px	a.35.1.1	d1e3oc2	1e3o C:1-75
76336	px	a.35.1.1	d1gt0c2	1gt0 C:3-77
65821	px	a.35.1.1	d1hf0a2	1hf0 A:6-75
65823	px	a.35.1.1	d1hf0b2	1hf0 B:6-75
17017	px	a.35.1.1	d1octc2	1oct C:5-75
17018	px	a.35.1.1	d1cqta2	1cqt A:2-75
17019	px	a.35.1.1	d1cqtb2	1cqt B:505-575
92471	px	a.35.1.1	d1o4xa2	1o4x A:5-79
17020	px	a.35.1.1	d1pou__	1pou -
47417	dm	a.35.1.1	-	Pit-1
47418	sp	a.35.1.1	-	Rat (Rattus norvegicus)
17021	px	a.35.1.1	d1au7a2	1au7 A:5-76
17022	px	a.35.1.1	d1au7b2	1au7 B:5-74
81748	dm	a.35.1.1	-	Hepatocyte nuclear factor 1a (LFB1/HNF1)
81749	sp	a.35.1.1	-	Human (Homo sapiens)
76741	px	a.35.1.1	d1ic8a2	1ic8 A:87-180
76743	px	a.35.1.1	d1ic8b2	1ic8 B:85-179
47419	fa	a.35.1.2	-	Phage repressors
47420	dm	a.35.1.2	-	lambda C1 repressor, DNA-binding domain
47421	sp	a.35.1.2	-	Bacteriophage lambda
17023	px	a.35.1.2	d1lmb3_	1lmb 3:
17024	px	a.35.1.2	d1lmb4_	1lmb 4:
17025	px	a.35.1.2	d1llia_	1lli A:
17026	px	a.35.1.2	d1llib_	1lli B:
97513	px	a.35.1.2	d1rioa_	1rio A:
97514	px	a.35.1.2	d1riob_	1rio B:
17027	px	a.35.1.2	d1lrp__	1lrp -
47422	dm	a.35.1.2	-	434 C1 repressor, DNA-binding domain
47423	sp	a.35.1.2	-	Bacteriophage 434
17028	px	a.35.1.2	d1r69__	1r69 -
17029	px	a.35.1.2	d1perl_	1per L:
17030	px	a.35.1.2	d1perr_	1per R:
17031	px	a.35.1.2	d2or1l_	2or1 L:
17032	px	a.35.1.2	d2or1r_	2or1 R:
17033	px	a.35.1.2	d1rpel_	1rpe L:
17034	px	a.35.1.2	d1rper_	1rpe R:
17036	px	a.35.1.2	d2r63__	2r63 -
17037	px	a.35.1.2	d1pra__	1pra -
17035	px	a.35.1.2	d1r63__	1r63 -
105888	px	a.35.1.2	d1sq8a_	1sq8 A:
47424	dm	a.35.1.2	-	cro 434
47425	sp	a.35.1.2	-	Bacteriophage 434
17038	px	a.35.1.2	d2cro__	2cro -
17039	px	a.35.1.2	d3crol_	3cro L:
17040	px	a.35.1.2	d3cror_	3cro R:
17041	px	a.35.1.2	d1zug__	1zug -
47426	dm	a.35.1.2	-	P22 C2 repressor, DNA-binding domain
47427	sp	a.35.1.2	-	Salmonella bacteriophage P22
17042	px	a.35.1.2	d1adr__	1adr -
47428	dm	a.35.1.2	-	cro lambda repressor
47429	sp	a.35.1.2	-	Bacteriophage lambda
17043	px	a.35.1.2	d5croo_	5cro O:
17044	px	a.35.1.2	d5croa_	5cro A:
17045	px	a.35.1.2	d5crob_	5cro B:
17046	px	a.35.1.2	d5croc_	5cro C:
17047	px	a.35.1.2	d6croa_	6cro A:
17048	px	a.35.1.2	d4croa_	4cro A:
17049	px	a.35.1.2	d4crob_	4cro B:
17050	px	a.35.1.2	d4croc_	4cro C:
17051	px	a.35.1.2	d4crod_	4cro D:
17052	px	a.35.1.2	d4croe_	4cro E:
17053	px	a.35.1.2	d4crof_	4cro F:
17057	px	a.35.1.2	d1d1la_	1d1l A:
17058	px	a.35.1.2	d1copd_	1cop D:
17059	px	a.35.1.2	d1cope_	1cop E:
17061	px	a.35.1.2	d3orca_	3orc A:
17054	px	a.35.1.2	d1orc__	1orc -
17055	px	a.35.1.2	d1d1mb_	1d1m B:
17056	px	a.35.1.2	d1d1ma_	1d1m A:
17060	px	a.35.1.2	d2orc__	2orc -
47430	dm	a.35.1.2	-	Ner
47431	sp	a.35.1.2	-	Bacteriophage mu
17062	px	a.35.1.2	d1ner__	1ner -
17063	px	a.35.1.2	d1neq__	1neq -
109809	dm	a.35.1.2	-	cro p22
109810	sp	a.35.1.2	-	Bacteriophage p22
105139	px	a.35.1.2	d1rzsa_	1rzs A:
47432	fa	a.35.1.3	-	SinR domain-like
47433	dm	a.35.1.3	-	SinR repressor, DNA-binding domain
47434	sp	a.35.1.3	-	Bacillus subtilis
17064	px	a.35.1.3	d1b0na2	1b0n A:1-68
109811	dm	a.35.1.3	-	Putative transcription regulator CylR2
109812	sp	a.35.1.3	-	Enterococcus faecalis
108034	px	a.35.1.3	d1utxa_	1utx A:
108035	px	a.35.1.3	d1utxb_	1utx B:
47435	fa	a.35.1.4	-	Cyanase N-terminal domain
47436	dm	a.35.1.4	-	Cyanase N-terminal domain
47437	sp	a.35.1.4	-	Escherichia coli
17075	px	a.35.1.4	d1dwka1	1dwk A:1-86
17076	px	a.35.1.4	d1dwkb1	1dwk B:1-86
17077	px	a.35.1.4	d1dwkc1	1dwk C:1-86
17078	px	a.35.1.4	d1dwkd1	1dwk D:1-86
17079	px	a.35.1.4	d1dwke1	1dwk E:1-86
17080	px	a.35.1.4	d1dwkf1	1dwk F:1-86
17081	px	a.35.1.4	d1dwkg1	1dwk G:1-86
17082	px	a.35.1.4	d1dwkh1	1dwk H:1-86
17083	px	a.35.1.4	d1dwki1	1dwk I:1-86
17084	px	a.35.1.4	d1dwkj1	1dwk J:1-86
17065	px	a.35.1.4	d1dw9a1	1dw9 A:1-86
17066	px	a.35.1.4	d1dw9b1	1dw9 B:1-86
17067	px	a.35.1.4	d1dw9c1	1dw9 C:1-86
17068	px	a.35.1.4	d1dw9d1	1dw9 D:1-86
17069	px	a.35.1.4	d1dw9e1	1dw9 E:1-86
17070	px	a.35.1.4	d1dw9f1	1dw9 F:1-86
17071	px	a.35.1.4	d1dw9g1	1dw9 G:1-86
17072	px	a.35.1.4	d1dw9h1	1dw9 H:1-86
17073	px	a.35.1.4	d1dw9i1	1dw9 I:1-86
17074	px	a.35.1.4	d1dw9j1	1dw9 J:1-86
47438	fa	a.35.1.5	-	GalR/LacI-like bacterial regulator
47439	dm	a.35.1.5	-	Purine repressor (PurR), N-terminal domain
47440	sp	a.35.1.5	-	Escherichia coli
17086	px	a.35.1.5	d2puba1	2pub A:3-58
17087	px	a.35.1.5	d1vpwa1	1vpw A:3-58
17090	px	a.35.1.5	d1zaya1	1zay A:3-58
17089	px	a.35.1.5	d1bdha1	1bdh A:3-58
17091	px	a.35.1.5	d2puea1	2pue A:3-58
17085	px	a.35.1.5	d2puda1	2pud A:3-58
17094	px	a.35.1.5	d2puca1	2puc A:3-58
17088	px	a.35.1.5	d2puga1	2pug A:3-58
17093	px	a.35.1.5	d1weta1	1wet A:3-58
17092	px	a.35.1.5	d1bdia1	1bdi A:3-58
17095	px	a.35.1.5	d1pnra1	1pnr A:3-58
17097	px	a.35.1.5	d1qpza1	1qpz A:2-58
17096	px	a.35.1.5	d1qp4a1	1qp4 A:3-58
17098	px	a.35.1.5	d2puaa1	2pua A:2-58
66652	px	a.35.1.5	d1jfta1	1jft A:2-58
66710	px	a.35.1.5	d1jh9a1	1jh9 A:2-58
17099	px	a.35.1.5	d1qqba1	1qqb A:3-58
17100	px	a.35.1.5	d2pufa1	2puf A:3-58
66650	px	a.35.1.5	d1jfsa1	1jfs A:2-58
17102	px	a.35.1.5	d1qp0a1	1qp0 A:3-58
17103	px	a.35.1.5	d1qp7a1	1qp7 A:3-58
17101	px	a.35.1.5	d1qqaa1	1qqa A:3-58
17105	px	a.35.1.5	d1prv__	1prv -
17104	px	a.35.1.5	d1pru__	1pru -
47441	dm	a.35.1.5	-	Lac repressor (LacR), N-terminal domain
47442	sp	a.35.1.5	-	Escherichia coli
17106	px	a.35.1.5	d1efaa1	1efa A:2-60
17107	px	a.35.1.5	d1efab1	1efa B:2-60
17108	px	a.35.1.5	d1efac1	1efa C:46-60
67389	px	a.35.1.5	d1jwla1	1jwl A:2-60
67391	px	a.35.1.5	d1jwlb1	1jwl B:2-60
17112	px	a.35.1.5	d1cjga_	1cjg A:
17113	px	a.35.1.5	d1cjgb_	1cjg B:
93497	px	a.35.1.5	d1osla_	1osl A:
93498	px	a.35.1.5	d1oslb_	1osl B:
17109	px	a.35.1.5	d1lqc__	1lqc -
17110	px	a.35.1.5	d1lcca_	1lcc A:
17111	px	a.35.1.5	d1lcda_	1lcd A:
73474	px	a.35.1.5	d1l1ma_	1l1m A:
73475	px	a.35.1.5	d1l1mb_	1l1m B:
17114	px	a.35.1.5	d1lbga1	1lbg A:1-60
17115	px	a.35.1.5	d1lbgb1	1lbg B:1-60
17116	px	a.35.1.5	d1lbgc1	1lbg C:1-60
17117	px	a.35.1.5	d1lbgd1	1lbg D:1-60
47443	dm	a.35.1.5	-	Fructose repressor (FruR), N-terminal domain
47444	sp	a.35.1.5	-	Escherichia coli
17118	px	a.35.1.5	d1uxd__	1uxd -
17119	px	a.35.1.5	d1uxc__	1uxc -
109813	fa	a.35.1.6	-	YdiL-like
109814	dm	a.35.1.6	-	Putative cytoplasmic protein YdiL
109815	sp	a.35.1.6	-	Salmonella typhimurium
105254	px	a.35.1.6	d1s4ka_	1s4k A:
105255	px	a.35.1.6	d1s4kb_	1s4k B:
47445	cf	a.36	-	Signal peptide-binding domain
47446	sf	a.36.1	-	Signal peptide-binding domain
47447	fa	a.36.1.1	-	Signal peptide-binding domain
47448	dm	a.36.1.1	-	Signal sequence binding protein Ffh
47449	sp	a.36.1.1	-	Escherichia coli
17120	px	a.36.1.1	d1hq1a_	1hq1 A:
17121	px	a.36.1.1	d1dula_	1dul A:
47450	sp	a.36.1.1	-	Thermus aquaticus
17122	px	a.36.1.1	d2ffha2	2ffh A:319-418
17123	px	a.36.1.1	d2ffhb2	2ffh B:319-418
17124	px	a.36.1.1	d2ffhc2	2ffh C:319-418
101170	sp	a.36.1.1	-	Archaeon Sulfolobus solfataricus
96712	px	a.36.1.1	d1qzxa2	1qzx A:295-432
96715	px	a.36.1.1	d1qzxb2	1qzx B:295-432
96700	px	a.36.1.1	d1qzwa2	1qzw A:295-432
96703	px	a.36.1.1	d1qzwc2	1qzw C:295-432
96706	px	a.36.1.1	d1qzwe2	1qzw E:295-432
96709	px	a.36.1.1	d1qzwg2	1qzw G:295-432
47451	dm	a.36.1.1	-	SRP54M
47452	sp	a.36.1.1	-	Human (Homo sapiens)
17125	px	a.36.1.1	d1qb2a_	1qb2 A:
17126	px	a.36.1.1	d1qb2b_	1qb2 B:
79046	px	a.36.1.1	d1mfqc_	1mfq C:
47453	cf	a.37	-	A DNA-binding domain in eukaryotic transcription factors
47454	sf	a.37.1	-	A DNA-binding domain in eukaryotic transcription factors
47455	fa	a.37.1.1	-	A DNA-binding domain in eukaryotic transcription factors
47456	dm	a.37.1.1	-	Skn-1
47457	sp	a.37.1.1	-	Caenorhabditis elegans
17127	px	a.37.1.1	d1sknp_	1skn P:
74717	dm	a.37.1.1	-	Mafg
74718	sp	a.37.1.1	-	Mouse (Mus musculus)
71999	px	a.37.1.1	d1k1va_	1k1v A:
47458	cf	a.38	-	HLH-like
47459	sf	a.38.1	-	HLH, helix-loop-helix DNA-binding domain
47460	fa	a.38.1.1	-	HLH, helix-loop-helix DNA-binding domain
47461	dm	a.38.1.1	-	Max protein
47462	sp	a.38.1.1	-	Human (Homo sapiens)
80574	px	a.38.1.1	d1nkpb_	1nkp B:
80576	px	a.38.1.1	d1nkpe_	1nkp E:
80634	px	a.38.1.1	d1nlwb_	1nlw B:
80636	px	a.38.1.1	d1nlwe_	1nlw E:
17128	px	a.38.1.1	d1hloa_	1hlo A:
17129	px	a.38.1.1	d1hlob_	1hlo B:
96723	px	a.38.1.1	d1r05a_	1r05 A:
96724	px	a.38.1.1	d1r05b_	1r05 B:
47463	sp	a.38.1.1	-	Mouse (Mus musculus)
17130	px	a.38.1.1	d1an2a_	1an2 A:
17131	px	a.38.1.1	d1an2c_	1an2 C:
81750	dm	a.38.1.1	-	Myc proto-oncogene protein
81751	sp	a.38.1.1	-	Human (Homo sapiens)
80573	px	a.38.1.1	d1nkpa_	1nkp A:
80575	px	a.38.1.1	d1nkpd_	1nkp D:
81752	dm	a.38.1.1	-	Mad protein
81753	sp	a.38.1.1	-	Human (Homo sapiens)
80633	px	a.38.1.1	d1nlwa_	1nlw A:
80635	px	a.38.1.1	d1nlwd_	1nlw D:
47464	dm	a.38.1.1	-	Myod B/HLH domain
47465	sp	a.38.1.1	-	Mouse (Mus musculus)
17132	px	a.38.1.1	d1mdya_	1mdy A:
17133	px	a.38.1.1	d1mdyb_	1mdy B:
17134	px	a.38.1.1	d1mdyc_	1mdy C:
17135	px	a.38.1.1	d1mdyd_	1mdy D:
47466	dm	a.38.1.1	-	Usf B/HLH domain
47467	sp	a.38.1.1	-	Human (Homo sapiens)
17136	px	a.38.1.1	d1an4a_	1an4 A:
17137	px	a.38.1.1	d1an4b_	1an4 B:
47468	dm	a.38.1.1	-	Pho4 B/HLH domain
47469	sp	a.38.1.1	-	Baker's yeast (Saccharomyces cerevisiae)
17138	px	a.38.1.1	d1a0aa_	1a0a A:
17139	px	a.38.1.1	d1a0ab_	1a0a B:
47470	dm	a.38.1.1	-	SREBP-1a
47471	sp	a.38.1.1	-	Human (Homo sapiens)
17140	px	a.38.1.1	d1am9a_	1am9 A:
17141	px	a.38.1.1	d1am9b_	1am9 B:
17142	px	a.38.1.1	d1am9c_	1am9 C:
17143	px	a.38.1.1	d1am9d_	1am9 D:
101171	dm	a.38.1.1	-	SREBP-2
101172	sp	a.38.1.1	-	Human (Homo sapiens)
99495	px	a.38.1.1	d1uklc_	1ukl C:
99496	px	a.38.1.1	d1ukld_	1ukl D:
99497	px	a.38.1.1	d1ukle_	1ukl E:
99498	px	a.38.1.1	d1uklf_	1ukl F:
101173	sf	a.38.2	-	Docking domain B of the erythromycin polyketide synthase (DEBS)
101174	fa	a.38.2.1	-	Docking domain B of the erythromycin polyketide synthase (DEBS)
101175	dm	a.38.2.1	-	Erythronolide synthase
101176	sp	a.38.2.1	-	Saccharopolyspora erythraea
95468	px	a.38.2.1	d1pzra_	1pzr A:
95469	px	a.38.2.1	d1pzrb_	1pzr B:
47472	cf	a.39	-	EF Hand-like
47473	sf	a.39.1	-	EF-hand
47474	fa	a.39.1.1	-	Calbindin D9K
47475	dm	a.39.1.1	-	Calbindin D9K
47476	sp	a.39.1.1	-	Cow (Bos taurus)
17145	px	a.39.1.1	d4icb__	4icb -
17147	px	a.39.1.1	d3icb__	3icb -
62363	px	a.39.1.1	d1ig5a_	1ig5 A:
62369	px	a.39.1.1	d1igva_	1igv A:
17149	px	a.39.1.1	d2bca__	2bca -
17152	px	a.39.1.1	d1d1oa_	1d1o A:
17153	px	a.39.1.1	d1clb__	1clb -
17151	px	a.39.1.1	d1b1ga_	1b1g A:
17150	px	a.39.1.1	d2bcb__	2bcb -
17148	px	a.39.1.1	d1cdn__	1cdn -
17155	px	a.39.1.1	d1boc__	1boc -
17154	px	a.39.1.1	d1bod__	1bod -
104622	px	a.39.1.1	d1qx2a_	1qx2 A:
104623	px	a.39.1.1	d1qx2b_	1qx2 B:
61252	px	a.39.1.1	d1ht9a_	1ht9 A:
61253	px	a.39.1.1	d1ht9b_	1ht9 B:
68450	px	a.39.1.1	d1kcya_	1kcy A:
68842	px	a.39.1.1	d1kqva_	1kqv A:
68859	px	a.39.1.1	d1ksma_	1ksm A:
91685	px	a.39.1.1	d1n65a_	1n65 A:
47477	sp	a.39.1.1	-	Pig (Sus scrofa)
17156	px	a.39.1.1	d1cb1__	1cb1 -
47478	fa	a.39.1.2	-	S100 proteins
47479	dm	a.39.1.2	-	Calcyclin (S100)
47480	sp	a.39.1.2	-	Rabbit (Oryctolagus cuniculus)
71908	px	a.39.1.2	d1jwda_	1jwd A:
71909	px	a.39.1.2	d1jwdb_	1jwd B:
17157	px	a.39.1.2	d1a03a_	1a03 A:
17158	px	a.39.1.2	d1a03b_	1a03 B:
17159	px	a.39.1.2	d2cnpa_	2cnp A:
17160	px	a.39.1.2	d2cnpb_	2cnp B:
17161	px	a.39.1.2	d1cnpa_	1cnp A:
17162	px	a.39.1.2	d1cnpb_	1cnp B:
74719	sp	a.39.1.2	-	Human (Homo sapiens), s100a6
72181	px	a.39.1.2	d1k8ua_	1k8u A:
72187	px	a.39.1.2	d1k96a_	1k96 A:
72206	px	a.39.1.2	d1k9ka_	1k9k A:
72207	px	a.39.1.2	d1k9kb_	1k9k B:
72238	px	a.39.1.2	d1k9pa_	1k9p A:
81754	sp	a.39.1.2	-	Human (Homo sapiens), s100a4
78506	px	a.39.1.2	d1m31a_	1m31 A:
78507	px	a.39.1.2	d1m31b_	1m31 B:
69019	sp	a.39.1.2	-	Rat (Rattus norvegicus), s100a1
68056	px	a.39.1.2	d1k2ha_	1k2h A:
68057	px	a.39.1.2	d1k2hb_	1k2h B:
47481	sp	a.39.1.2	-	Rat (Rattus norvegicus), s100b
17163	px	a.39.1.2	d1qlka_	1qlk A:
17164	px	a.39.1.2	d1qlkb_	1qlk B:
79584	px	a.39.1.2	d1mwna_	1mwn A:
79585	px	a.39.1.2	d1mwnb_	1mwn B:
17165	px	a.39.1.2	d1dt7a_	1dt7 A:
17166	px	a.39.1.2	d1dt7b_	1dt7 B:
17169	px	a.39.1.2	d1b4ca_	1b4c A:
17170	px	a.39.1.2	d1b4cb_	1b4c B:
17167	px	a.39.1.2	d1syma_	1sym A:
17168	px	a.39.1.2	d1symb_	1sym B:
47482	sp	a.39.1.2	-	Cow (Bos taurus), s100b
17171	px	a.39.1.2	d1mho__	1mho -
95079	px	a.39.1.2	d1psba_	1psb A:
95080	px	a.39.1.2	d1psbb_	1psb B:
17172	px	a.39.1.2	d1cfpa_	1cfp A:
17173	px	a.39.1.2	d1cfpb_	1cfp B:
47483	sp	a.39.1.2	-	Human (Homo sapiens), s100b
17174	px	a.39.1.2	d1uwoa_	1uwo A:
17175	px	a.39.1.2	d1uwob_	1uwo B:
79392	px	a.39.1.2	d1mq1a_	1mq1 A:
79393	px	a.39.1.2	d1mq1b_	1mq1 B:
47484	sp	a.39.1.2	-	Human (Homo sapiens), P11 s100a10, calpactin
17176	px	a.39.1.2	d1a4pa_	1a4p A:
17177	px	a.39.1.2	d1a4pb_	1a4p B:
17178	px	a.39.1.2	d1bt6a_	1bt6 A:
17179	px	a.39.1.2	d1bt6b_	1bt6 B:
47485	sp	a.39.1.2	-	Human (Homo sapiens), psoriasin s100a7
17180	px	a.39.1.2	d1psra_	1psr A:
17181	px	a.39.1.2	d1psrb_	1psr B:
17182	px	a.39.1.2	d2psr__	2psr -
17183	px	a.39.1.2	d3psra_	3psr A:
17184	px	a.39.1.2	d3psrb_	3psr B:
47486	sp	a.39.1.2	-	Pig (Sus scrofa), calgizzarin s100c (s100a11)
17185	px	a.39.1.2	d1qlsa_	1qls A:
89047	sp	a.39.1.2	-	Rabbit (Oryctolagus cuniculus), calgizzarin s100a11
86135	px	a.39.1.2	d1nsha_	1nsh A:
86136	px	a.39.1.2	d1nshb_	1nsh B:
47487	sp	a.39.1.2	-	Human (Homo sapiens), calgranulin s100a8, MRP8
17186	px	a.39.1.2	d1mr8a_	1mr8 A:
17187	px	a.39.1.2	d1mr8b_	1mr8 B:
47488	sp	a.39.1.2	-	Human (Homo sapiens), calgranulin C, s100a12
17188	px	a.39.1.2	d1e8aa_	1e8a A:
17189	px	a.39.1.2	d1e8ab_	1e8a B:
86840	px	a.39.1.2	d1odba_	1odb A:
86841	px	a.39.1.2	d1odbb_	1odb B:
86842	px	a.39.1.2	d1odbc_	1odb C:
86843	px	a.39.1.2	d1odbd_	1odb D:
86844	px	a.39.1.2	d1odbe_	1odb E:
86845	px	a.39.1.2	d1odbf_	1odb F:
70360	px	a.39.1.2	d1gqma_	1gqm A:
70361	px	a.39.1.2	d1gqmb_	1gqm B:
70362	px	a.39.1.2	d1gqmc_	1gqm C:
70363	px	a.39.1.2	d1gqmd_	1gqm D:
70364	px	a.39.1.2	d1gqme_	1gqm E:
70365	px	a.39.1.2	d1gqmf_	1gqm F:
70366	px	a.39.1.2	d1gqmg_	1gqm G:
70367	px	a.39.1.2	d1gqmh_	1gqm H:
70368	px	a.39.1.2	d1gqmi_	1gqm I:
70369	px	a.39.1.2	d1gqmj_	1gqm J:
70370	px	a.39.1.2	d1gqmk_	1gqm K:
70371	px	a.39.1.2	d1gqml_	1gqm L:
69020	sp	a.39.1.2	-	Human (Homo sapiens), s100a9 (mrp14)
66289	px	a.39.1.2	d1irja_	1irj A:
66290	px	a.39.1.2	d1irjb_	1irj B:
66291	px	a.39.1.2	d1irjc_	1irj C:
66292	px	a.39.1.2	d1irjd_	1irj D:
66293	px	a.39.1.2	d1irje_	1irj E:
66294	px	a.39.1.2	d1irjf_	1irj F:
66295	px	a.39.1.2	d1irjg_	1irj G:
66296	px	a.39.1.2	d1irjh_	1irj H:
74720	sp	a.39.1.2	-	Human (Homo sapiens), s100a3
72926	px	a.39.1.2	d1ksoa_	1kso A:
72927	px	a.39.1.2	d1ksob_	1kso B:
81755	sp	a.39.1.2	-	Human (Homo sapiens), s100p
77078	px	a.39.1.2	d1j55a_	1j55 A:
93851	px	a.39.1.2	d1ozoa_	1ozo A:
93852	px	a.39.1.2	d1ozob_	1ozo B:
89048	fa	a.39.1.10	-	Polcalcin
89049	dm	a.39.1.10	-	Polcalcin phl p 7
89050	sp	a.39.1.10	-	Timothy grass (Phleum pratense)
84348	px	a.39.1.10	d1k9ua_	1k9u A:
84349	px	a.39.1.10	d1k9ub_	1k9u B:
101177	dm	a.39.1.10	-	Polcalcin bet v 4
101178	sp	a.39.1.10	-	White birch (Betula verrucosa)
90608	px	a.39.1.10	d1h4ba_	1h4b A:
109816	dm	a.39.1.10	-	procalcin che a 3
109817	sp	a.39.1.10	-	Pigweed (Chenopodium album)
104195	px	a.39.1.10	d1pmza_	1pmz A:
104196	px	a.39.1.10	d1pmzb_	1pmz B:
104197	px	a.39.1.10	d1pmzc_	1pmz C:
104198	px	a.39.1.10	d1pmzd_	1pmz D:
47489	fa	a.39.1.3	-	Osteonectin
47490	dm	a.39.1.3	-	C-terminal (EC) domain of BM-40/SPARC/osteonectin
47491	sp	a.39.1.3	-	Human (Homo sapiens)
17190	px	a.39.1.3	d1sra__	1sra -
